#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
    2662  320.333139  -1.056728   52197.202221   52197.375954  95.000000   0.000000 320.333139  -1.056728
    2677    9.261845  -1.056714   52207.310099   52207.371880  95.000000   0.000000   9.261845  -1.056714
    2700   23.346418  -1.058399   52224.277305   52224.383038  95.000000   0.000000  23.346418  -1.058399
    2708  347.436907  -1.057635   52225.127509   52225.229509  95.000000   0.000000 347.436907  -1.057635
    2709   23.454555  -1.267032   52225.242991   52225.341259  95.000000   0.000000  23.454555  -1.267032
    2728  320.567377  -1.055915   52231.088874   52231.287485  95.000000   0.000000 320.567377  -1.055915
    2735  144.502769  48.532313   52233.455996   52233.505337  95.000000  57.500000 159.523334  -1.265403
    2738   14.877582  -1.057418   52234.210387   52234.336437  95.000000   0.000000  14.877582  -1.057418
    2740  114.610181  23.618197   52234.369128   52234.489372  95.000000  55.000000 125.310546  -1.266139
    2768  343.996567  -1.056598   52253.139941   52253.227843  95.000000   0.000000 343.996567  -1.056598
    2777  113.130157  22.276413   52258.297085   52258.398256  95.000000  55.000000 123.409097  -1.057056
    2820   23.278366  -1.058663   52261.197011   52261.298182  95.000000   0.000000  23.278366  -1.058663
    2821  143.328987  45.591162   52261.310525   52261.395526  95.000000  55.000000 157.268722  -1.056520
    2822  113.140173  24.276674   52261.408200   52261.497346  95.000000  57.500000 124.955770  -1.057548
    2825  113.015576  23.771589   52262.248106   52262.354668  95.000000  57.500000 124.482644  -1.268038
    2826  126.326030  37.694649   52262.366514   52262.517025  95.000000  57.500000 142.464667  -1.056102
    2830  115.082330  22.206241   52263.254648   52263.476063  95.000000  52.500000 124.570141  -1.268197
    2831  138.935921  45.852066   52263.487102   52263.519029  95.000000  57.500000 154.887954  -1.263855
    2855   20.723590  -1.060164   52282.116563   52282.139783  95.000000   0.000000  20.723590  -1.060164
    2856   29.512131  -1.058021   52282.149331   52282.172550  95.000000   0.000000  29.512131  -1.058021
    2861   34.156188  -1.056948   52283.094509   52283.175365  95.000000   0.000000  34.156188  -1.056948
    2863  125.840609  37.289937   52283.230232   52283.316477  95.000000  57.500000 141.905888  -1.057704
    2864  113.407380  20.762311   52283.328856   52283.431270  95.000000  52.500000 122.455635  -1.057068
    2873   21.764218  -1.057771   52287.073309   52287.179455  95.000000   0.000000  21.764218  -1.057771
    2882  141.714959  42.231931   52287.330620   52287.362962  95.000000  52.500000 154.486174  -1.056971
    2883  143.996608  43.286173   52287.371237   52287.503506  95.000000  52.500000 156.465738  -1.056523
    2886   21.474368  -1.267683   52288.071926   52288.178073  95.000000   0.000000  21.474368  -1.267683
    2887  114.090529  19.456621   52288.190367   52288.328855  95.000000  50.000000 121.968520  -1.267952
    2888  113.686491  19.360727   52288.340329   52288.402110  95.000000  50.000000 121.636444  -1.057745
    2960   81.658673  -1.267145   52313.077799   52313.109311  95.000000   0.000000  81.658673  -1.267145
    2961  117.947513  23.133810   52313.120214   52313.174116  95.000000  50.000000 127.110677  -1.267304
    2964  127.100701  30.957687   52313.240812   52313.474667  95.000000  50.000000 138.400792  -1.056580
    2968   81.514823  -1.057487   52314.078228   52314.110154  95.000000   0.000000  81.514823  -1.057487
    2986  120.332448   1.947765   52318.221072   52318.354999  95.000000   7.500000 120.372747  -1.267392
    2987  148.096577  52.934699   52318.365469   52318.409835  95.000000  60.000000 163.778253  -1.055572
    2989  176.010614  58.627408   52318.433161   52318.476697  95.000000  60.000000 180.333342  -1.055233
    3015  122.720032   2.440327   52338.108584   52338.279414  95.000000   7.500000 122.800276  -1.056870
    3031  127.627680   4.149601   52345.140392   52345.389175  95.000000  10.000000 127.839833  -1.267498
    3059  154.437769  44.369165   52354.356040   52354.421140  95.000000  50.000000 163.680367  -1.263108
    3103  150.985404  48.384922   52365.099534   52365.202365  95.000000  55.000000 163.185427  -1.267169
    3130  183.017993  53.926225   52379.180269   52379.225464  95.000000  55.000000 183.832895  -1.057239
    3177  202.183858  52.454550   52402.131629   52402.278410  95.000000  55.000000 195.374523  -1.268009
    3180  200.010109  52.978112   52402.338233   52402.441064  95.000000  55.000000 193.973017  -1.057306
    3183  200.516548  57.766648   52403.141382   52403.183260  95.000000  60.000000 193.205272  -1.268306
    3184  216.064811  54.601768   52403.191457   52403.259042  95.000000  60.000000 202.395965  -1.268230
    3185  241.071159  37.117975   52403.271031   52403.331981  95.000000  55.000000 226.432413  -1.057487
    3187  225.335170  48.601247   52403.357755   52403.436951  95.000000  57.500000 210.349151  -1.266348
    3225  201.994661  57.789099   52434.181599   52434.327966  95.000000  60.000000 193.964586  -1.055433
    3226  232.355028  47.917803   52434.337249   52434.426811  95.000000  60.000000 214.544121  -1.266717
    3322  303.164337  -1.165981   52522.169428   52522.212552  95.000000   0.000000 303.164337  -1.165981
    3325  345.433167  -1.271242   52522.274212   52522.479872  95.000000   0.000000 345.433167  -1.271242
    3355   20.353196  -1.266425   52551.342116   52551.451994  95.000000   0.000000  20.353196  -1.266425
